date,price,sma_5,sma_10,long,short
2017-12-01,10898.0,10538.262,9572.776999999998,,
2017-12-02,11190.0,10845.405999999999,9859.509,,
2017-12-03,11825.0,11222.606,10216.009,,
2017-12-04,11600.0,11282.6,10539.109,,
2017-12-05,11853.0,11473.2,10850.931,,
2017-12-06,13615.23,12016.645999999999,11277.454000000002,,
2017-12-07,16649.96,13108.638,11977.022,,
2017-12-08,17204.99,14184.635999999999,12703.621000000001,,
2017-12-09,16269.3,15118.496,13200.548,,
2017-12-10,15720.12,15891.919999999998,13682.560000000001,,
2017-12-11,17470.0,16662.874,14339.76,,
2017-12-12,16976.45,16728.172000000002,14918.405000000002,,
2017-12-13,16546.0,16596.374000000003,15390.505000000001,,
2017-12-14,16445.0,16631.514000000003,15875.005000000001,,
2017-12-15,17991.0,17085.690000000002,16488.805,,
2017-12-16,19539.0,17499.49,17081.182,,
2017-12-17,19798.68,18063.935999999998,17396.054,,
2017-12-18,19300.0,18614.735999999997,17605.555,,
2017-12-19,18950.0,19115.735999999997,17873.625,,
2017-12-20,17720.35,19061.606,18073.648,,
2017-12-21,17309.5,18615.706,18057.598,,
2017-12-22,15699.34,17795.838,17929.887,,15699.34
2017-12-23,14950.0,16925.838,17770.287,,
2017-12-24,13819.99,15899.836000000001,17507.786,,
2017-12-25,14300.0,15215.766,17138.685999999998,,
2017-12-26,16050.0,14963.866,16789.786,,
2017-12-27,16498.05,15123.608000000002,16459.722999999998,,
2017-12-28,15539.99,15241.606,16083.722,,
2017-12-29,14981.0,15473.808,15686.822,,
2017-12-30,14398.85,15493.578,15354.672,14398.85,
2017-12-31,14050.11,15093.6,15028.732999999998,,
2018-01-01,13818.55,14557.7,14840.653999999999,,13818.55
2018-01-02,15473.49,14544.4,14893.003,,
2018-01-03,15307.56,14609.712,15041.76,,
2018-01-04,15280.0,14785.942,15139.76,,
2018-01-05,17176.24,15411.168,15252.384,17176.24,
2018-01-06,17143.13,16076.083999999999,15316.891999999998,,
2018-01-07,17099.96,16401.378,15472.889,,
2018-01-08,16322.3,16604.326,15607.019,,
2018-01-09,15500.0,16648.326,15717.134,,
2018-01-10,14955.66,16204.210000000001,15807.689000000002,,
2018-01-11,14968.68,15769.319999999998,15922.702000000001,,14968.68
2018-01-12,14109.78,15171.284,15786.331,,
2018-01-13,14580.0,14822.823999999999,15713.575,,
